LETTER0.ENG	"גלגלי הגורל
'שומרים על העולם בחיים'

מר מלקולם מכובדנו;

לאחרונה הובא לתשומת לבנו כי אתה, בתור אחראי קירנדיה,
נכשלת בניהול המדינה באופן ההולם את מעמדך.

כפי שידוע לך, ישנם מועמדים מתאימים רבים לתפקיד הקירנדייני
אשר רק ממתינים למשרה פנויה,
ולכן באנו בזאת להזהירך כי במידה ותתבצע הפרת זכויות נוספת מצידך,
תעלה להצבעה במפגש המועצה הבא החלפת הזכיון הקירנדייני.

בכבוד רב,
מ. מילהאוס
מכונאי ראשי
"
LETTER1.ENG	"ג'ונס מחקרים ארכיאולוגיים


גברת סקוטיה;

תודה על התעניינותך במסיכה התחתונה.
אנו מאמינים כי המקדש העתיק אשר הכיל את אותו ממצא
נקבר תחתיו בשטחה של חברת המכרות האורבישית. כמו כן קיבלנו
תכתובת מאת עוד מעריץ מסיכות תחתונות אשר מתגורר באזורך.
שמו הוא ריצ'רד מלך גלדסטון. אולי שניכם תוכלו לשתף פעולה
במסגרת מיזמי חפירה עתידיים.

בתודה,
פרופסור ג'ונס
"
LETTER2.ENG	"א.ק.מ.י מפעלי גבינה

מר גרינברי היקר;

אנו מודים לך על הצעתך להוספת חרדל במוצרי הגבינה שלנו.
למרות שהדבר אכן יחסוך זמן יקר ללקוחותינו
בתהליך הכנת הכריכים (כפי שהמחשת באופן כה משכנע בתרשימיך),
מחלקת השיווק שלנו דיווחה לנו על כי ישנם
מספר אנשים המעדיפים לחילופין להשתמש במיונז.

בברכה,
מונטריי ג'ק
סמנכ""ל בחפיפה
"
LETTER3.ENG	"הרמן היקר:

עברתי לגור בחזרה בבית אמא.
מאז שאיבדת את עבודתך בגשר, החיים הפכו בלתי נסבלים.
הצבע הירוק המטופש של גוון פניך, והדרך המטורפת שבה אתה
מניף את מסורך ללא הפסקה שיגעה אותי לחלוטין!
בהצלחה בתפקידך החדש בתור מנסר גבינות.

ג'וספין
"
PAGE0.ENG	"ספר זה שייך ל:

-זאנתיה-
משעול הכבול 1744
ביצת דרקמור
קירנדיה

"
PAGE1.ENG	"נורטון
רוקחי שיקויים

לחש כריכים
(ארוחת דווייט)

- חרדל
- קמח טחון
- חסה
- גבינה

מערבבים את החומרים
בקדירה. ממלאים שני בקבוקונים.
"
PAGE2.ENG	"נורטון
רוקחי שיקויים

נעליים מעופפות
(תחבורה)

- אוויר חם
- נוצת חרטומן
- עור אדום

מערבבים את החומרים
בקדירה. ממלאים בקבוקון אחד.
"
PAGE3.ENG	"נורטון
רוקחי שיקויים

לחש ספקנות

- פרסת מזל
- טביעת ארנבת
- רוטב חמוץ מתוק
- דמעות לטאה

מערבבים את הנסיוב בקדירה.
ממלאים ארבעה בקבוקונים.
יש להפעיל במזבח הספקות.
"
PAGE4.ENG	"נורטון
רוקחי שיקויים

איש שלג, נורא
(לחש תחפושת)

- שלג
- מסיכה
- נוצות
- סוכר

מערבבים את החומרים
בקדירה. ממלאים בקבוקון אחד.
מוזגים על הראש.
"
PAGE5.ENG	"נורטון
רוקחי שיקויים

איש שלג, רגיל
(הנאה חורפית מאת פיל)

- שלג
- פחם
- טחב

מערבבים את החומרים
בקדירה. ממלאים ארבעה בקבוקונים.
עובד רק במזג אוויר קר.
"
PAGE6.ENG	"נורטון
רוקחי שיקויים

שיקוי נחשי ביצות
(להברחת דובי יער)

- נביחה סוערת
- ריח ביצים
- בצל
- דמעות לטאה
- פטריית רעל

מערבבים את הכל
בקדירה במים חמים.
ממלאים שלושה בקבוקונים.
"
PAGE7.ENG	"נורטון
רוקחי שיקויים

שיקוי דובון
(קסם הרדמה מאת קיה)

- פלומה
- לב זהב
- שני חלוקי נחל שחורים

מערבבים בקדירה.
ממלאים בקבוקון אחד.
"
PAGE8.ENG	"נורטון
רוקחי שיקויים

שיקוי טראנס

- מי ים
- עין סלמנדרה
- תמצית פרי הדר

אזהרה: יתכנו תופעות
בלתי צפויות. מערבבים
בקדירה. ממלאים בקבוקון אחד.
"
PAGE9.ENG	"נורטון
רוקחי שיקויים

שיקוי טובות הנאה

- פסל מכסף
- אבן קשת
- דומינו

מערבבים את החומרים בקדירה
ומפיקים משרוקית. שורקים
במשרוקית ויוצרים טעמים.
ממלאים בקבוקון אחד.
"
PAGEA.ENG	"נורטון
רוקחי שיקויים

לחש חדר משחקים

עשו מעשה טוב

1. צחצחו פסל
2. שחררו חיה קטנה
3. טעו עץ

ככל שתעשו יותר,
כך תקבלו יותר.
"
PAGEB.ENG	"
"
